AA.P	Alcoa Inc Pf 3.75
SVXY	Proshares Short VIX Short Term
SYRG	Synergy Resources Cp
SZE	Bank Of America Corp.
SZK	Ultrashort Consumer Goods
SZO	DB Crude Oil Short Etn
SZR	Dreyfus South African Rand Fund
SZX	Ms Sel10 Idx Srns
TA	Travelcenters Of America Llc
TAN	Guggenheim Solar ETF
TAO	Guggenheim China Real Estate ETF
TAS	Tasman Metals
TAT	Transatlantic Petroleum Ltd
TBAR	Rbs Gold Trendpilot Exchange Tr
TBF	Short 20+ Year Treasury
TBT	Ultrashort 20+ Year Treasury
TBX	Short 7-10 Years
TBZ	Ultra Short 3 7 Year T
TCX	Tucows Inc
TDD	Db-X 2010 Target Date Fund
TDH	Db-X 2020 Target Date Fund
TDN	Db-X 2030 Target Date Fund
TDTF	
TDTT	
TDV	Db-X 2040 Target Date Fund
TDX	Db-X In-Target Date Fund
TENZ	Pimco 7-15 Year U.S. Treasury
TF	Thai Capital Fund Inc
TFI	Barclays Muni Bond
TGB	Taseko Mines Limited
TGC	Tengasco
TGD	Timmins Gold Corp
TGEM	Egshares Telecommunication Gems ETF
TGR	S&P Target Date Retirement Inc
THD	MSCI Thailand
THM	International Tower Hill Mines Ltd
TIK	Tel-Instrument Electronics
TILT	
TIP	Barclays Tips Bond Fund
TIPZ	Pimco Broad U.S. Tips
TIS	Orchids Paper Products Company
TIV	Tri-Valley Corp.
TLB.W	Talbots
TLH	Barclays 10-20 Year Treasury Bond Fund
TLL	Ultrashort Telecommunications
TLO	Barclays Long Term Treasury
TLR	Timberline Resources Corp.
TLT	Barclays 20+ Year Treasury Bond Fund
TMF	Direxion 30-Yr Treasury Bull 3X Shrs
TMP	Tompkinstrustco
TMV	Direxion 30-Yr Treasury Bear 3X Shrs
TMW	Fortune 500 Index Tracking Stock
TNA	Direxion Small Cap Bull 3X Shares
TNDQ	
TOF	Tofutti Brands Inc.
TOK	MSCI Kokusai
TOTS	Direxion Daily Total Market Bea
TPI	Tianyin Pharmaceutical Co.
TPLM	Triangle Petroleum Corp.
TPS	Ultrashort Tips
TRND	Royal Bank Scotland Group Plc
TRNM	Royal Bank Scotland Group Plc
TRSY	Pimco Broad U.S. Treasury
TRT	Trio-Tech International
TRX	Tanzanian Royalty Exploration Corp.
TSH	Teche Holding Company
TSXV	Global X S&P Tsx Venture 30 Can
TTFS	
TTTM	T3 Motion Inc
TUR	MSCI Turkey Investable Market
TUZ	Pimco 1-3 Year US Treasury
TVIX	Velocityshares Daily 2X VIX Short-Term Etn
TVIZ	Velocityshares Daily 2X VIX Medium-Term Etn
TWM	Ultrashort Russell 2000
TWO.W	Two Harbors Investment Corp
TWQ	Ultrashort Russell 3000
TWTI	
TYBS	Direxion Daily 20 Year Treasury
TYD	Direxion 10-Yr Treasury Bull 3X Shrs
TYH	Direxion Technology Bull 3X Shares
TYNS	Direxion Daily 7 10 Year Treasu
TYO	Direxion 10-Yr Treasury Bear 3X Shrs
TYP	Direxion Technology Bear 3X Shares
TZA	Direxion Small Cap Bear 3X Shares
TZD	S&P Target Date 2010
TZE	Target Date 2015
TZG	S&P Target Date 2020 ETF
TZI	S&P Target Date 2025 ETF
TZL	S&P Target Date 2030
TZO	S&P Target Date 2035
TZV	S&P Target Date 2040
TZW	Ishares S&P Target Date 2045 In
TZY	Ishares S&P Target Date 2050 In
UAG	Cmci Agriculture Tr Etn
UBC	Cmci Livestock Tr Etn
UBG	Cmci Gold Tr Etn
UBM	Cmci Industrial Metals Tr Etn
UBN	Cmci Energy Tr Etn
UBR	Ultra Msci Brazil
UBT	Ultra 20+ Year Treasury
UCC	Ultra Consumer Services
UCD	Ultra DJ-Aig Commodity
UCI	Healthmarkets Inc
UCO	Ultra DJ-Aig Crude Oil
UDN	DB Usd Index Bearish
UDNT	Powershares Db 3X Short US Doll
UDOW	Ultrapro Dow 30
UEC	Uranium Energy
UGA	US Gasoline Fund Lp
UGE	Ultra Consumer Goods
UGEM	Egshares Utilities Gems ETF
UGL	Ultra Gold
UGLD	Velocityshares 3X Long Gold Etn
UHN	US Heating Oil Fund Lp
UJB	Proshares Ultra High Yld ETF
UKF	Ultra Russell 1000 Growth
UKK	Ultra Russell 2000 Growth
UKW	Ultra Russell Midcap Growth
ULE	Ultra Euro
ULU	Uluru Inc.
UMDD	Ultrapro Midcap 400
UMH	Umh Properties
UMH-A	Umh Properties Inc. 8.25% Seri
UMX	Ultra Msci Mexico Investable Market
UNG	US Natural Gas Fund Lp
UNL	US 12 Month Natural Gas Fund
UPG	Universal Power Group Inc
UPRO	Ultrapro S&P 500
UPV	Ultra Msci Europe
UPW	Ultra Utilities
UQM	Uqm Technologies Inc
URA	Global X Uranium ETF
URE	Ultra Real Estate ETF
URG	Ur Energy Inc
URR	Vectors Double Long Euro Etn
URTY	Ultrapro Russell 2000
URZ	Uranerz Energy Corp.
USCI	US Commodity Index Fund Etv
USD	Ultra Semiconductors
USL	US 12 Month Oil
USLV	Velocityshares 3X Long Silver E
USMV	
USO	US Oil Fund Lp
UST	Ultra 7-10 Year Treasury
USV	Cmci Silver Tr Etn
UTG	Reaves Utility
UUP	DB Usd Index Bullish
UUPT	Powershares Db 3X Long US Dolla
UUU	Universal Security Instruments
UVE	Universal Insurance Holdings Inc
UVG	Ultra Russell 1000 Value
UVT	Ultra Russell 2000 Value
UVU	Ultra Russell Midcap Value
UVXY	Proshares Trust Ultra VIX Short
UWC	Ultra Russell 3000
UWM	Ultra Russell 2000
UWN	Nevada Gold & Casinos
UXI	Ultra Industrials
UXJ	Ultra Msci Pacific Ex-Japan
UYG	Ultra Financials ETF
UYM	Ultra Basic Materials
VAW	Vg Materials ETF
VB	Vg Small-Cap ETF
VBK	Vg Small-Cap Growth ETF
VBR	Vg Small-Cap Value ETF
VCF	Delaware Colorado Muni Income Fund Inc
VCR	Vg Consumer Discretionary ETF
VDC	Vg Consumer Staples ETF
VDE	Vg Energy ETF
VEA	MSCI Eafe
VEGI	
VEU	Vg Ftse All World Ex US ETF
VFH	Vg Financials ETF
VFL	Delaware Florida Insured Muni
VGEM	Egshares Consumer Services Gems ETF
VGK	MSCI European
VGT	Vg Information Technology ETF
VGZ	Vista Gold Corp.
VHC	Virnetx Holding Corp
VHT	Vg Health Care ETF
VIG	Vg Dividend Appreciation ETF
VII	Vicon Industries Inc
VIIX	Velocityshares Daily Long VIX Short-Term Etn
VIIZ	Velocityshares Daily Long VIX Medium-Term Etn
VIOG	Vg S&P Small-Cap 600 Growth ETF
VIOO	Vg S&P Small-Cap 600 ETF
VIOV	Vg S&P Small-Cap 600 Value ETF
VIS	Vg Industrials ETF
VIXM	ViX Mid-Term Futures ETF
VIXY	ViX Short-Term Futures ETF
VKI	Invesco Advantage Muni Income Trust Ii
VKL	Invesco Select Sector Muni Trust
VMM	Delaware Minnesota Muni Ii
VMV	Invesco Massachusetts Value Muni
VNM	Vietnam ETF
VNQ	Vg Reit ETF
VO	Vg Mid-Cap ETF
VOE	Vg Mid-Cap Value ETF
VOG	Voyager Oil & Gas In
VOO	Vg S&P 500 ETF
VOOG	Vg S&P 500 Growth ETF
VOOV	Vg S&P 500 Value ETF
VOT	Vg Mid-Cap Growth ETF
VOX	Vg Telecom Services ETF
VPL	MSCI Pacific
VPU	Vg Utilities ETF
VQT	Barclays Etn  S&P Veqtor
VRD	S&P Vrdo Muni Bond ETF
VRN.W	Vringo Inc. Warrants 5 Years
VRNG	Vringo
VROM	Global X/ Auto ETF
VSPY	
VSR	Versar
VSS	Vg Ftse All-Wld Ex-Us Smcp Idx ETF
VT	Vg Total World Stock Index ETF
VTG	Vantage Drilling Company
VTI	Vg Total Stock Market ETF
VTV	Vg Value ETF
VUG	Vg Growth ETF
VV	Vg Large-Cap ETF
VWO	MSCI Emerging Markets
VXAA	
VXBB	
VXCC	
VXDD	
VXF	Vg Extended Market ETF
VXX	S&P 500 VIX Short-Term Etn
VXZ	S&P 500 VIX Mid-Term Etn
VYM	Vg High Dividend Yield ETF
VZZB	Ipath Long Enhanced S&P 500 VIX
WAC	Hanover Capital Mortgage Holdings
WCAT	CRB Wildcatters Exploration & Production
WDTI	Managed Futures Strategy Fund
WEAT	
WEET	Ipath Pure Beta Grains Etn
WEX	Winland Electronics
WFVK	Wilshire 5000 Total Market ETF
WGA	Wells-Gardner Electronics Corp.
WIP	SPDR Db International Inflation Bond
WIS.P	Wisconsin P L 450 10
WITE	ETFs White Metals Basket Trust
WMCO	
WMCR	Wilshire Micro-Cap ETF
WMW	Wide Moat Focus Tr Index Etn
WPS	Ishares S&P Developed Ex-U.S. Property
WREI	Wilshire US Reit
WRN	Western Copper Corp
WSO.B	Watsco Inc Cl B
WSR	Whitestone Reit
WSTE	Global X Waste Management ETF
WTT	Wireless Telecom Group Inc.
WXSP	Wilshire 4500 Completion
WYY	Widepoint Corp.
WZE	Wizzard Software Corp.
XAR	
XBI	S&P Biotech ETF
XES	S&P Oil & Gas Equipment ETF
XG	Extorre Gold Mines
XGC	Guggenheim Intl Small Cap Ldrs ETF
XHB	SPDR Homebuilders ETF
XHE	S&P Health Care Equipment
XHS	
XIV	Velocityshares Etns
XLB	SPDR Fund - Basic Industries
XLBT	
XLE	SPDR Fund - Energy Sector
XLF	SPDR Fund - Financial
XLG	Russell Top 50 ETF
XLI	SPDR Fund - Industrial
XLK	SPDR Fund - Technology
XLP	SPDR Fund - Consumer Staples
XLU	SPDR Fund - Utilities
XLV	SPDR Fund - Health Care
XLY	SPDR Fund - Consumer Discretionary
XME	S&P Metals & Mining ETF
XMPT	Market Vectors Cef Municipal In
XOIL	Global X Oil Equities ETF
XOP	S&P Oil & Gas Explor & Product
XPH	SPDR S&P Pharmaceuticals ETF
XPL	Solitario Exploration & Royalty Corp
XPO	Express-1 Expedited Solutions
XPP	Ultra Ftse China 25
XRA	Exeter Resource Corp.
XRO	Guggenheim Sector Rotation ETF
XRT	S&P Retail ETF
XSD	S&P Semiconductor ETF
XSW	
XTL	S&P Telecom ETF
XTN	S&P Transportation ETF
XVIX	Ag Daily Long-Short VIX Etn
XVZ	Ipath S&P 500 Dynamic VIX Etn
XXV	Inverse S&P 500 VIX S/T Etn
YANG	Direxion China Bear 3X Shares
YAO	Guggenheim China All-Cap ETF
YCL	Ultra Yen
YCS	Ultrashort Yen
YINN	Direxion China Bull 3X Shares
YMI	Ym Biosciences
YXI	Short Ftse China 25
ZBB	Zbb Energy Corporation
ZBZX	
ZIV	Velocityshares Daily Inverse VIX Medium-Term Etn
ZROZ	Pimco 25+ Year Zero Coupon U.S. Treasury
ZSL	Ultrashort Silver
ZTEST	
